Comune,Anno,Mese,Tipologia,Stelle,Numero Strutture,Letti,Camere
ABBASANTA,2021,1,Albergo,4 Stelle,1,25,10
ABBASANTA,2021,1,Bed and breakfast,2 Stelle,1,4,2
ABBASANTA,2021,2,Albergo,4 Stelle,1,25,10
ABBASANTA,2021,2,Bed and breakfast,2 Stelle,1,4,2
ABBASANTA,2021,3,Albergo,4 Stelle,1,25,10
ABBASANTA,2021,3,Bed and breakfast,2 Stelle,1,4,2
ABBASANTA,2021,4,Albergo,4 Stelle,1,25,10
ABBASANTA,2021,4,Bed and breakfast,2 Stelle,1,4,2
ABBASANTA,2021,5,Albergo,4 Stelle,1,25,10
ABBASANTA,2021,5,Bed and breakfast,2 Stelle,1,4,2
ABBASANTA,2021,6,Albergo,3 Stelle,1,91,31
ABBASANTA,2021,6,Albergo,4 Stelle,1,25,10
ABBASANTA,2021,6,Alloggi privati,NULL,1,5,1
ABBASANTA,2021,6,Bed and breakfast,2 Stelle,1,4,2
ABBASANTA,2021,7,Albergo,3 Stelle,1,91,31
ABBASANTA,2021,7,Albergo,4 Stelle,1,25,10
ABBASANTA,2021,7,Alloggi privati,NULL,1,5,1
ABBASANTA,2021,7,Bed and breakfast,2 Stelle,1,4,2
ABBASANTA,2021,8,Albergo,3 Stelle,1,91,31
ABBASANTA,2021,8,Alloggi privati,NULL,1,5,1
ABBASANTA,2021,8,Bed and breakfast,2 Stelle,1,4,2
ABBASANTA,2021,9,Albergo,3 Stelle,1,91,31
ABBASANTA,2021,9,Bed and breakfast,2 Stelle,1,4,2
ABBASANTA,2021,10,Albergo,3 Stelle,1,91,31
ABBASANTA,2021,10,Bed and breakfast,2 Stelle,1,4,2
ABBASANTA,2021,11,Agriturismo,NULL,1,10,6
ABBASANTA,2021,11,Albergo,3 Stelle,1,91,31
ABBASANTA,2021,11,Alloggi privati,NULL,1,5,1
ABBASANTA,2021,11,Bed and breakfast,2 Stelle,1,4,2
ABBASANTA,2021,12,Agriturismo,NULL,1,10,6
ABBASANTA,2021,12,Alloggi privati,NULL,1,5,1
ABBASANTA,2021,12,Bed and breakfast,2 Stelle,1,4,2
AGGIUS,2021,1,Agriturismo,NULL,3,38,21
AGGIUS,2021,1,Bed and breakfast,NULL,2,12,6
AGGIUS,2021,2,Agriturismo,NULL,3,38,21
AGGIUS,2021,2,Bed and breakfast,NULL,2,12,6
AGGIUS,2021,2,Bed and breakfast,3 Stelle,1,5,3
AGGIUS,2021,3,Agriturismo,NULL,3,38,21
AGGIUS,2021,3,Bed and breakfast,NULL,2,12,6
AGGIUS,2021,3,Bed and breakfast,3 Stelle,1,5,3
AGGIUS,2021,4,Agriturismo,NULL,3,38,21
AGGIUS,2021,4,Bed and breakfast,NULL,2,12,6
AGGIUS,2021,4,Bed and breakfast,3 Stelle,1,5,3
AGGIUS,2021,5,Agriturismo,NULL,3,38,21
AGGIUS,2021,5,Alloggi privati,NULL,2,6,3
AGGIUS,2021,5,Bed and breakfast,NULL,2,12,6
AGGIUS,2021,5,Bed and breakfast,3 Stelle,1,5,3
AGGIUS,2021,6,Agriturismo,NULL,3,38,21
AGGIUS,2021,6,Alloggi privati,NULL,3,12,6
AGGIUS,2021,6,Bed and breakfast,NULL,2,12,6
AGGIUS,2021,6,Bed and breakfast,3 Stelle,2,15,6
AGGIUS,2021,6,Case e appartamenti per vacanze,II Categoria,1,8,3
AGGIUS,2021,7,Agriturismo,NULL,3,38,21
AGGIUS,2021,7,Alloggi privati,NULL,3,12,6
AGGIUS,2021,7,Bed and breakfast,NULL,2,12,6
AGGIUS,2021,7,Bed and breakfast,3 Stelle,2,15,6
AGGIUS,2021,7,Case e appartamenti per vacanze,II Categoria,1,8,3
AGGIUS,2021,8,Agriturismo,NULL,3,38,21
AGGIUS,2021,8,Alloggi privati,NULL,3,12,6
AGGIUS,2021,8,Bed and breakfast,NULL,2,12,6
AGGIUS,2021,8,Bed and breakfast,3 Stelle,2,15,6
AGGIUS,2021,8,Case e appartamenti per vacanze,II Categoria,1,8,3
AGGIUS,2021,9,Agriturismo,NULL,3,38,21
AGGIUS,2021,9,Alloggi privati,NULL,3,12,6
AGGIUS,2021,9,Bed and breakfast,NULL,2,12,6
AGGIUS,2021,9,Bed and breakfast,3 Stelle,2,15,6
AGGIUS,2021,9,Case e appartamenti per vacanze,II Categoria,1,8,3
AGGIUS,2021,10,Agriturismo,NULL,3,38,21
AGGIUS,2021,10,Bed and breakfast,NULL,2,12,6
AGGIUS,2021,10,Bed and breakfast,3 Stelle,2,15,6
AGGIUS,2021,11,Agriturismo,NULL,3,38,21
AGGIUS,2021,11,Bed and breakfast,NULL,2,12,6
AGGIUS,2021,12,Agriturismo,NULL,3,38,21
AGGIUS,2021,12,Bed and breakfast,NULL,2,12,6
AGLIENTU,2021,1,Agriturismo,NULL,1,4,4
AGLIENTU,2021,1,Alloggi privati,NULL,2,2,1
AGLIENTU,2021,2,Agriturismo,NULL,1,4,4
AGLIENTU,2021,2,Alloggi privati,NULL,2,2,1
AGLIENTU,2021,3,Agriturismo,NULL,1,4,4
AGLIENTU,2021,3,Alloggi privati,NULL,1,2,1
AGLIENTU,2021,4,Agriturismo,NULL,1,4,4
AGLIENTU,2021,4,Albergo,3 Stelle,1,49,0
AGLIENTU,2021,4,Alloggi privati,NULL,15,109,47
AGLIENTU,2021,5,Agriturismo,NULL,3,22,13
AGLIENTU,2021,5,Albergo,3 Stelle,3,689,267
AGLIENTU,2021,5,Alloggi privati,NULL,50,255,109
AGLIENTU,2021,5,Campeggio,4 Stelle,2,3898,1072
AGLIENTU,2021,5,Case e appartamenti per vacanze,II Categoria,1,23,0
AGLIENTU,2021,6,Agriturismo,NULL,10,118,44
AGLIENTU,2021,6,Albergo,2 Stelle,1,12,7
AGLIENTU,2021,6,Albergo,3 Stelle,5,725,282
AGLIENTU,2021,6,Alloggi privati,NULL,83,457,193
AGLIENTU,2021,6,Campeggio,4 Stelle,2,3898,1072
AGLIENTU,2021,6,Case e appartamenti per vacanze,II Categoria,2,72,33
AGLIENTU,2021,7,Agriturismo,NULL,10,118,44
AGLIENTU,2021,7,Albergo,2 Stelle,1,12,7
AGLIENTU,2021,7,Albergo,3 Stelle,5,725,282
AGLIENTU,2021,7,Alloggi privati,NULL,86,479,202
AGLIENTU,2021,7,Campeggio,4 Stelle,2,3898,1072
AGLIENTU,2021,7,Case e appartamenti per vacanze,II Categoria,2,72,33
AGLIENTU,2021,8,Agriturismo,NULL,10,118,44
AGLIENTU,2021,8,Albergo,2 Stelle,1,12,7
AGLIENTU,2021,8,Albergo,3 Stelle,5,725,282
AGLIENTU,2021,8,Alloggi privati,NULL,86,479,202
AGLIENTU,2021,8,Campeggio,4 Stelle,2,3898,1072
AGLIENTU,2021,8,Case e appartamenti per vacanze,II Categoria,2,72,33
AGLIENTU,2021,8,Case per ferie,III Categoria,1,10,5
AGLIENTU,2021,9,Agriturismo,NULL,10,118,44
AGLIENTU,2021,9,Albergo,2 Stelle,1,12,7
AGLIENTU,2021,9,Albergo,3 Stelle,5,725,282
AGLIENTU,2021,9,Alloggi privati,NULL,86,479,202
AGLIENTU,2021,9,Campeggio,4 Stelle,2,3898,1072
AGLIENTU,2021,9,Case e appartamenti per vacanze,II Categoria,2,72,33
AGLIENTU,2021,9,Case per ferie,III Categoria,1,10,5
AGLIENTU,2021,10,Agriturismo,NULL,6,84,30
AGLIENTU,2021,10,Alloggi privati,NULL,54,292,129
AGLIENTU,2021,10,Campeggio,4 Stelle,2,3898,1072
AGLIENTU,2021,10,Case e appartamenti per vacanze,II Categoria,1,23,0
AGLIENTU,2021,10,Case per ferie,III Categoria,1,10,5
AGLIENTU,2021,11,Agriturismo,NULL,1,4,4
AGLIENTU,2021,11,Alloggi privati,NULL,3,10,4
AGLIENTU,2021,11,Case per ferie,III Categoria,1,10,5
AGLIENTU,2021,12,Agriturismo,NULL,1,4,4
AGLIENTU,2021,12,Alloggi privati,NULL,1,2,1
AGLIENTU,2021,12,Case per ferie,III Categoria,1,10,5
ALÀ DEI SARDI,2021,1,Alloggi privati,NULL,1,4,2
ALÀ DEI SARDI,2021,2,Alloggi privati,NULL,1,4,2
ALÀ DEI SARDI,2021,3,Alloggi privati,NULL,1,4,2
ALÀ DEI SARDI,2021,4,Alloggi privati,NULL,1,4,2
ALÀ DEI SARDI,2021,5,Alloggi privati,NULL,1,4,2
ALÀ DEI SARDI,2021,6,Alloggi privati,NULL,2,8,3
ALÀ DEI SARDI,2021,7,Alloggi privati,NULL,2,8,3
ALÀ DEI SARDI,2021,8,Alloggi privati,NULL,2,8,3
ALÀ DEI SARDI,2021,9,Alloggi privati,NULL,2,8,3
ALÀ DEI SARDI,2021,10,Alloggi privati,NULL,1,4,2
ALÀ DEI SARDI,2021,10,Bed and breakfast,2 Stelle,1,2,2
ALÀ DEI SARDI,2021,11,Alloggi privati,NULL,1,4,2
ALÀ DEI SARDI,2021,11,Bed and breakfast,2 Stelle,1,2,2
ALÀ DEI SARDI,2021,12,Alloggi privati,NULL,1,4,2
ALÀ DEI SARDI,2021,12,Bed and breakfast,2 Stelle,1,2,2
ALES,2021,1,Affittacamere,II Categoria,2,14,7
ALES,2021,2,Affittacamere,II Categoria,2,14,7
ALES,2021,3,Affittacamere,II Categoria,2,14,7
ALES,2021,4,Affittacamere,II Categoria,2,14,7
ALES,2021,4,Case e appartamenti per vacanze,II Categoria,1,9,3
ALES,2021,5,Affittacamere,II Categoria,2,14,7
ALES,2021,5,Case e appartamenti per vacanze,II Categoria,1,9,3
ALES,2021,6,Affittacamere,II Categoria,2,14,7
ALES,2021,6,Bed and breakfast,1 Stella,1,6,3
ALES,2021,6,Case e appartamenti per vacanze,II Categoria,1,9,3
ALES,2021,7,Affittacamere,II Categoria,2,14,7
ALES,2021,7,Bed and breakfast,1 Stella,1,6,3
ALES,2021,7,Case e appartamenti per vacanze,II Categoria,1,9,3
ALES,2021,8,Affittacamere,II Categoria,2,14,7
ALES,2021,8,Bed and breakfast,1 Stella,1,6,3
ALES,2021,8,Case e appartamenti per vacanze,II Categoria,1,9,3
ALES,2021,9,Affittacamere,II Categoria,2,14,7
ALES,2021,9,Case e appartamenti per vacanze,II Categoria,1,9,3
ALES,2021,10,Affittacamere,II Categoria,2,14,7
ALES,2021,10,Bed and breakfast,1 Stella,1,6,3
ALES,2021,10,Case e appartamenti per vacanze,II Categoria,1,9,3
ALES,2021,11,Affittacamere,II Categoria,2,14,7
ALES,2021,11,Bed and breakfast,1 Stella,1,6,3
ALES,2021,11,Case e appartamenti per vacanze,II Categoria,1,9,3
ALES,2021,12,Affittacamere,II Categoria,2,14,7
ALES,2021,12,Bed and breakfast,1 Stella,2,8,5
ALES,2021,12,Case e appartamenti per vacanze,II Categoria,1,9,3
ALGHERO,2021,1,Affittacamere,NULL,22,155,75
ALGHERO,2021,1,Affittacamere,I Categoria,6,37,24
ALGHERO,2021,1,Affittacamere,II Categoria,39,270,138
ALGHERO,2021,1,Affittacamere,III Categoria,4,28,15
ALGHERO,2021,1,Agriturismo,NULL,15,151,78
ALGHERO,2021,1,Albergo,3 Stelle,2,153,78
ALGHERO,2021,1,Albergo,4 Stelle,1,281,128
ALGHERO,2021,1,Albergo,5 Stelle,1,48,24
ALGHERO,2021,1,Albergo residenziale,4 Stelle,1,42,25
ALGHERO,2021,1,Alloggi privati,NULL,238,1103,493
ALGHERO,2021,1,Bed and breakfast,NULL,44,190,98
ALGHERO,2021,1,Bed and breakfast,1 Stella,21,92,39
ALGHERO,2021,1,Bed and breakfast,2 Stelle,25,106,53
ALGHERO,2021,1,Bed and breakfast,3 Stelle,13,60,26
ALGHERO,2021,1,Case e appartamenti per vacanze,NULL,4,73,36
ALGHERO,2021,1,Case e appartamenti per vacanze,I Categoria,1,8,4
ALGHERO,2021,1,Case e appartamenti per vacanze,II Categoria,18,335,148
ALGHERO,2021,1,Case e appartamenti per vacanze,III Categoria,3,41,18
ALGHERO,2021,1,Case per ferie,III Categoria,1,43,31
ALGHERO,2021,1,Ostelli per la gioventù,III Categoria,1,20,8
ALGHERO,2021,1,Turismo Rurale,1 Stella,1,7,7
ALGHERO,2021,1,Turismo Rurale,3 Stelle,2,99,46
ALGHERO,2021,2,Affittacamere,NULL,24,170,83
ALGHERO,2021,2,Affittacamere,I Categoria,6,37,24
ALGHERO,2021,2,Affittacamere,II Categoria,42,298,146
ALGHERO,2021,2,Affittacamere,III Categoria,5,33,18
ALGHERO,2021,2,Agriturismo,NULL,16,156,82
ALGHERO,2021,2,Albergo,3 Stelle,2,153,78
ALGHERO,2021,2,Albergo,4 Stelle,1,281,128
ALGHERO,2021,2,Albergo,5 Stelle,1,48,24
ALGHERO,2021,2,Alloggi privati,NULL,244,1135,508
ALGHERO,2021,2,Bed and breakfast,NULL,40,173,87
ALGHERO,2021,2,Bed and breakfast,1 Stella,24,104,45
ALGHERO,2021,2,Bed and breakfast,2 Stelle,19,80,40
ALGHERO,2021,2,Bed and breakfast,3 Stelle,10,43,19
ALGHERO,2021,2,Case e appartamenti per vacanze,NULL,5,87,43
ALGHERO,2021,2,Case e appartamenti per vacanze,I Categoria,1,8,4
ALGHERO,2021,2,Case e appartamenti per vacanze,II Categoria,15,296,130
ALGHERO,2021,2,Case e appartamenti per vacanze,III Categoria,3,41,18
ALGHERO,2021,2,Case per ferie,III Categoria,1,43,31
ALGHERO,2021,2,Ostelli per la gioventù,III Categoria,1,20,8
ALGHERO,2021,2,Turismo Rurale,1 Stella,1,7,7
ALGHERO,2021,2,Turismo Rurale,3 Stelle,3,117,55
ALGHERO,2021,3,Affittacamere,NULL,26,178,88
ALGHERO,2021,3,Affittacamere,I Categoria,7,43,27
ALGHERO,2021,3,Affittacamere,II Categoria,47,361,177
ALGHERO,2021,3,Affittacamere,III Categoria,5,33,18
ALGHERO,2021,3,Agriturismo,NULL,15,142,74
ALGHERO,2021,3,Albergo,3 Stelle,3,252,133
ALGHERO,2021,3,Albergo,4 Stelle,1,281,128
ALGHERO,2021,3,Albergo,5 Stelle,1,48,24
ALGHERO,2021,3,Albergo residenziale,4 Stelle,1,42,25
ALGHERO,2021,3,Alloggi privati,NULL,272,1268,566
ALGHERO,2021,3,Bed and breakfast,NULL,56,244,121
ALGHERO,2021,3,Bed and breakfast,1 Stella,31,131,56
ALGHERO,2021,3,Bed and breakfast,2 Stelle,29,126,60
ALGHERO,2021,3,Bed and breakfast,3 Stelle,13,64,28
ALGHERO,2021,3,Case e appartamenti per vacanze,NULL,5,109,55
ALGHERO,2021,3,Case e appartamenti per vacanze,I Categoria,1,8,4
ALGHERO,2021,3,Case e appartamenti per vacanze,II Categoria,21,375,151
ALGHERO,2021,3,Case e appartamenti per vacanze,III Categoria,4,138,41
ALGHERO,2021,3,Case per ferie,III Categoria,1,43,31
ALGHERO,2021,3,Ostelli per la gioventù,NULL,1,76,24
ALGHERO,2021,3,Ostelli per la gioventù,III Categoria,2,152,38
ALGHERO,2021,3,Turismo Rurale,1 Stella,1,7,7
ALGHERO,2021,3,Turismo Rurale,3 Stelle,3,117,55
ALGHERO,2021,4,Affittacamere,NULL,25,181,88
ALGHERO,2021,4,Affittacamere,I Categoria,6,39,24
ALGHERO,2021,4,Affittacamere,II Categoria,42,314,154
ALGHERO,2021,4,Affittacamere,III Categoria,5,44,21
ALGHERO,2021,4,Agriturismo,NULL,18,192,94
ALGHERO,2021,4,Albergo,3 Stelle,3,252,133
ALGHERO,2021,4,Albergo,4 Stelle,1,281,128
ALGHERO,2021,4,Albergo,5 Stelle,1,48,24
ALGHERO,2021,4,Albergo residenziale,3 Stelle,1,36,12
ALGHERO,2021,4,Albergo residenziale,4 Stelle,1,42,25
ALGHERO,2021,4,Alloggi privati,NULL,365,1697,742
ALGHERO,2021,4,Bed and breakfast,NULL,61,264,132
ALGHERO,2021,4,Bed and breakfast,1 Stella,37,148,66
ALGHERO,2021,4,Bed and breakfast,2 Stelle,31,130,62
ALGHERO,2021,4,Bed and breakfast,3 Stelle,13,60,27
ALGHERO,2021,4,Case e appartamenti per vacanze,NULL,6,133,63
ALGHERO,2021,4,Case e appartamenti per vacanze,I Categoria,1,8,4
ALGHERO,2021,4,Case e appartamenti per vacanze,II Categoria,23,405,165
ALGHERO,2021,4,Case e appartamenti per vacanze,III Categoria,4,102,62
ALGHERO,2021,4,Case per ferie,III Categoria,2,68,47
ALGHERO,2021,4,Ostelli per la gioventù,III Categoria,2,152,38
ALGHERO,2021,4,Turismo Rurale,1 Stella,1,7,7
ALGHERO,2021,4,Turismo Rurale,3 Stelle,3,117,55
ALGHERO,2021,5,Affittacamere,NULL,30,215,103
ALGHERO,2021,5,Affittacamere,I Categoria,8,59,33
ALGHERO,2021,5,Affittacamere,II Categoria,51,411,196
ALGHERO,2021,5,Affittacamere,III Categoria,6,49,24
ALGHERO,2021,5,Agriturismo,NULL,26,286,143
ALGHERO,2021,5,Albergo,3 Stelle,5,719,325
ALGHERO,2021,5,Albergo,4 Stelle,3,507,244
ALGHERO,2021,5,Albergo,5 Stelle,1,48,24
ALGHERO,2021,5,Albergo residenziale,3 Stelle,1,36,12
ALGHERO,2021,5,Albergo residenziale,4 Stelle,1,42,25
ALGHERO,2021,5,Alloggi privati,NULL,466,2195,953
ALGHERO,2021,5,Bed and breakfast,NULL,75,326,161
ALGHERO,2021,5,Bed and breakfast,1 Stella,41,167,78
ALGHERO,2021,5,Bed and breakfast,2 Stelle,37,163,76
ALGHERO,2021,5,Bed and breakfast,3 Stelle,14,60,28
ALGHERO,2021,5,Campeggio,4 Stelle,1,2432,612
ALGHERO,2021,5,Case e appartamenti per vacanze,NULL,6,133,63
ALGHERO,2021,5,Case e appartamenti per vacanze,I Categoria,1,8,4
ALGHERO,2021,5,Case e appartamenti per vacanze,II Categoria,27,521,196
ALGHERO,2021,5,Case e appartamenti per vacanze,III Categoria,6,218,94
ALGHERO,2021,5,Case per ferie,III Categoria,2,68,47
ALGHERO,2021,5,Ostelli per la gioventù,NULL,1,76,24
ALGHERO,2021,5,Ostelli per la gioventù,III Categoria,2,152,38
ALGHERO,2021,5,Turismo Rurale,1 Stella,1,7,7
ALGHERO,2021,5,Turismo Rurale,3 Stelle,3,117,55
ALGHERO,2021,5,Villaggi turistici,3 Stelle,1,200,30
ALGHERO,2021,6,Affittacamere,NULL,38,268,129
ALGHERO,2021,6,Affittacamere,I Categoria,10,77,41
ALGHERO,2021,6,Affittacamere,II Categoria,67,524,245
ALGHERO,2021,6,Affittacamere,III Categoria,6,49,24
ALGHERO,2021,6,Agriturismo,NULL,27,304,150
ALGHERO,2021,6,Albergo,3 Stelle,13,1315,600
ALGHERO,2021,6,Albergo,4 Stelle,13,3408,1320
ALGHERO,2021,6,Albergo,5 Stelle,2,534,203
ALGHERO,2021,6,Albergo residenziale,2 Stelle,1,275,66
ALGHERO,2021,6,Albergo residenziale,3 Stelle,3,411,116
ALGHERO,2021,6,Albergo residenziale,4 Stelle,1,42,25
ALGHERO,2021,6,Alloggi privati,NULL,650,3067,1321
ALGHERO,2021,6,Bed and breakfast,NULL,87,375,188
ALGHERO,2021,6,Bed and breakfast,1 Stella,45,180,85
ALGHERO,2021,6,Bed and breakfast,2 Stelle,54,229,110
ALGHERO,2021,6,Bed and breakfast,3 Stelle,18,85,37
ALGHERO,2021,6,Campeggio,3 Stelle,1,500,125
ALGHERO,2021,6,Campeggio,4 Stelle,1,2432,612
ALGHERO,2021,6,Case e appartamenti per vacanze,NULL,7,147,70
ALGHERO,2021,6,Case e appartamenti per vacanze,I Categoria,1,8,4
ALGHERO,2021,6,Case e appartamenti per vacanze,II Categoria,34,786,307
ALGHERO,2021,6,Case e appartamenti per vacanze,III Categoria,7,228,105
ALGHERO,2021,6,Case per ferie,III Categoria,4,142,87
ALGHERO,2021,6,Ostelli per la gioventù,NULL,1,76,24
ALGHERO,2021,6,Ostelli per la gioventù,III Categoria,2,152,38
ALGHERO,2021,6,Turismo Rurale,1 Stella,1,7,7
ALGHERO,2021,6,Turismo Rurale,3 Stelle,7,246,110
ALGHERO,2021,6,Turismo Rurale,4 Stelle,1,49,22
ALGHERO,2021,6,Villaggi turistici,3 Stelle,1,200,30
ALGHERO,2021,6,Villaggi turistici,4 Stelle,1,800,270
ALGHERO,2021,7,Affittacamere,NULL,38,268,129
ALGHERO,2021,7,Affittacamere,I Categoria,10,77,41
ALGHERO,2021,7,Affittacamere,II Categoria,76,576,272
ALGHERO,2021,7,Affittacamere,III Categoria,7,55,27
ALGHERO,2021,7,Agriturismo,NULL,28,314,155
ALGHERO,2021,7,Albergo,3 Stelle,14,1403,640
ALGHERO,2021,7,Albergo,4 Stelle,14,3488,1366
ALGHERO,2021,7,Albergo,5 Stelle,2,534,203
ALGHERO,2021,7,Albergo residenziale,2 Stelle,1,275,66
ALGHERO,2021,7,Albergo residenziale,3 Stelle,3,411,116
ALGHERO,2021,7,Albergo residenziale,4 Stelle,1,42,25
ALGHERO,2021,7,Alloggi privati,NULL,808,3776,1623
ALGHERO,2021,7,Bed and breakfast,NULL,96,416,209
ALGHERO,2021,7,Bed and breakfast,1 Stella,50,198,94
ALGHERO,2021,7,Bed and breakfast,2 Stelle,70,289,135
ALGHERO,2021,7,Bed and breakfast,3 Stelle,20,95,42
ALGHERO,2021,7,Boat and Breakfast,NULL,2,10,4
ALGHERO,2021,7,Campeggio,3 Stelle,1,500,125
ALGHERO,2021,7,Campeggio,4 Stelle,1,2432,612
ALGHERO,2021,7,Case e appartamenti per vacanze,NULL,8,157,75
ALGHERO,2021,7,Case e appartamenti per vacanze,I Categoria,1,8,4
ALGHERO,2021,7,Case e appartamenti per vacanze,II Categoria,37,927,367
ALGHERO,2021,7,Case e appartamenti per vacanze,III Categoria,7,228,105
ALGHERO,2021,7,Case per ferie,III Categoria,4,142,87
ALGHERO,2021,7,Ostelli per la gioventù,NULL,1,76,24
ALGHERO,2021,7,Ostelli per la gioventù,III Categoria,2,152,38
ALGHERO,2021,7,Turismo Rurale,1 Stella,1,7,7
ALGHERO,2021,7,Turismo Rurale,3 Stelle,7,246,110
ALGHERO,2021,7,Turismo Rurale,4 Stelle,1,49,22
ALGHERO,2021,7,Villaggi turistici,3 Stelle,1,200,30
ALGHERO,2021,7,Villaggi turistici,4 Stelle,1,800,270
ALGHERO,2021,8,Affittacamere,NULL,38,268,129
ALGHERO,2021,8,Affittacamere,I Categoria,10,77,41
ALGHERO,2021,8,Affittacamere,II Categoria,80,614,289
ALGHERO,2021,8,Affittacamere,III Categoria,9,75,36
ALGHERO,2021,8,Agriturismo,NULL,30,336,166
ALGHERO,2021,8,Albergo,3 Stelle,14,1403,640
ALGHERO,2021,8,Albergo,4 Stelle,14,3488,1366
ALGHERO,2021,8,Albergo,5 Stelle,2,534,203
ALGHERO,2021,8,Albergo residenziale,2 Stelle,1,275,66
ALGHERO,2021,8,Albergo residenziale,3 Stelle,3,411,116
ALGHERO,2021,8,Albergo residenziale,4 Stelle,1,42,25
ALGHERO,2021,8,Alloggi privati,NULL,874,4089,1753
ALGHERO,2021,8,Bed and breakfast,NULL,98,427,214
ALGHERO,2021,8,Bed and breakfast,1 Stella,51,200,95
ALGHERO,2021,8,Bed and breakfast,2 Stelle,71,295,138
ALGHERO,2021,8,Bed and breakfast,3 Stelle,20,95,42
ALGHERO,2021,8,Boat and Breakfast,NULL,2,10,4
ALGHERO,2021,8,Campeggio,3 Stelle,1,500,125
ALGHERO,2021,8,Campeggio,4 Stelle,1,2432,612
ALGHERO,2021,8,Case e appartamenti per vacanze,NULL,8,157,75
ALGHERO,2021,8,Case e appartamenti per vacanze,I Categoria,1,8,4
ALGHERO,2021,8,Case e appartamenti per vacanze,II Categoria,37,927,367
ALGHERO,2021,8,Case e appartamenti per vacanze,III Categoria,7,228,105
ALGHERO,2021,8,Case per ferie,III Categoria,4,142,87
ALGHERO,2021,8,Ostelli per la gioventù,NULL,1,76,24
ALGHERO,2021,8,Ostelli per la gioventù,III Categoria,2,152,38
ALGHERO,2021,8,Turismo Rurale,1 Stella,1,7,7
ALGHERO,2021,8,Turismo Rurale,3 Stelle,7,246,110
ALGHERO,2021,8,Turismo Rurale,4 Stelle,1,49,22
ALGHERO,2021,8,Villaggi turistici,3 Stelle,1,200,30
ALGHERO,2021,8,Villaggi turistici,4 Stelle,1,800,270
ALGHERO,2021,9,Affittacamere,NULL,39,277,135
ALGHERO,2021,9,Affittacamere,I Categoria,10,77,41
ALGHERO,2021,9,Affittacamere,II Categoria,82,624,295
ALGHERO,2021,9,Affittacamere,III Categoria,10,87,42
ALGHERO,2021,9,Agriturismo,NULL,30,336,166
ALGHERO,2021,9,Albergo,3 Stelle,14,1403,640
ALGHERO,2021,9,Albergo,4 Stelle,14,3488,1366
ALGHERO,2021,9,Albergo,5 Stelle,2,534,203
ALGHERO,2021,9,Albergo residenziale,2 Stelle,1,275,66
ALGHERO,2021,9,Albergo residenziale,3 Stelle,3,411,116
ALGHERO,2021,9,Albergo residenziale,4 Stelle,1,42,25
ALGHERO,2021,9,Alloggi privati,NULL,904,4259,1830
ALGHERO,2021,9,Bed and breakfast,NULL,99,427,214
ALGHERO,2021,9,Bed and breakfast,1 Stella,51,200,95
ALGHERO,2021,9,Bed and breakfast,2 Stelle,74,309,146
ALGHERO,2021,9,Bed and breakfast,3 Stelle,20,98,43
ALGHERO,2021,9,Boat and Breakfast,NULL,2,10,4
ALGHERO,2021,9,Campeggio,3 Stelle,1,500,125
ALGHERO,2021,9,Campeggio,4 Stelle,1,2432,612
ALGHERO,2021,9,Case e appartamenti per vacanze,NULL,9,172,85
ALGHERO,2021,9,Case e appartamenti per vacanze,I Categoria,1,8,4
ALGHERO,2021,9,Case e appartamenti per vacanze,II Categoria,37,927,367
ALGHERO,2021,9,Case e appartamenti per vacanze,III Categoria,7,228,105
ALGHERO,2021,9,Case per ferie,III Categoria,4,142,87
ALGHERO,2021,9,Ostelli per la gioventù,NULL,1,76,24
ALGHERO,2021,9,Ostelli per la gioventù,III Categoria,2,152,38
ALGHERO,2021,9,Turismo Rurale,1 Stella,1,7,7
ALGHERO,2021,9,Turismo Rurale,3 Stelle,7,246,110
ALGHERO,2021,9,Turismo Rurale,4 Stelle,1,49,22
ALGHERO,2021,9,Villaggi turistici,3 Stelle,1,200,30
ALGHERO,2021,9,Villaggi turistici,4 Stelle,1,800,270
ALGHERO,2021,10,Affittacamere,NULL,38,272,133
ALGHERO,2021,10,Affittacamere,I Categoria,10,77,41
ALGHERO,2021,10,Affittacamere,II Categoria,79,602,284
ALGHERO,2021,10,Affittacamere,III Categoria,10,87,42
ALGHERO,2021,10,Agriturismo,NULL,29,326,161
ALGHERO,2021,10,Albergo,3 Stelle,10,1158,530
ALGHERO,2021,10,Albergo,4 Stelle,14,3488,1366
ALGHERO,2021,10,Albergo,5 Stelle,2,534,203
ALGHERO,2021,10,Albergo residenziale,2 Stelle,1,275,66
ALGHERO,2021,10,Albergo residenziale,3 Stelle,3,411,116
ALGHERO,2021,10,Albergo residenziale,4 Stelle,1,42,25
ALGHERO,2021,10,Alloggi privati,NULL,786,3711,1589
ALGHERO,2021,10,Bed and breakfast,NULL,95,403,204
ALGHERO,2021,10,Bed and breakfast,1 Stella,51,197,95
ALGHERO,2021,10,Bed and breakfast,2 Stelle,73,307,145
ALGHERO,2021,10,Bed and breakfast,3 Stelle,20,98,43
ALGHERO,2021,10,Boat and Breakfast,NULL,1,4,1
ALGHERO,2021,10,Campeggio,3 Stelle,1,500,125
ALGHERO,2021,10,Campeggio,4 Stelle,1,2432,612
ALGHERO,2021,10,Case e appartamenti per vacanze,NULL,9,172,85
ALGHERO,2021,10,Case e appartamenti per vacanze,I Categoria,1,8,4
ALGHERO,2021,10,Case e appartamenti per vacanze,II Categoria,34,858,339
