"anno","provincia","mese","macro_tipologia","macro_provenienza","provenienza","arrivi","presenze"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Venezuela","2","8"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Brasile","2","20"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Brasile","7","135"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Argentina","1","1"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Argentina","1","1"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Altri Paesi Centro - Sud America","3","6"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","India","2","9"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Cina","6","26"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Cina","1","9"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Corea del Sud","1","1"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Altri Paesi Asia Occidentale","1","10"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Altri Paesi dell'Asia",,"5"
"2021","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Altri Paesi dell'Asia","12","16"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Italiani","Piemonte","13","41"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Piemonte","10","25"
"2021","Città metropolitana Cagliari","1","Alberghiero","Italiani","Piemonte","161","333"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Valle d'Aosta","2","10"
"2021","Città metropolitana Cagliari","1","Alberghiero","Italiani","Valle d'Aosta","3","9"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Italiani","Lombardia","55","200"
"2021","Città metropolitana Cagliari","1","Alberghiero","Italiani","Lombardia","648","1212"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Lombardia","29","112"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Veneto","16","72"
"2021","Città metropolitana Cagliari","1","Alberghiero","Italiani","Veneto","164","314"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Italiani","Veneto","17","65"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Italiani","Friuli-Venezia Giulia","4","4"
"2021","Città metropolitana Cagliari","1","Alberghiero","Italiani","Friuli-Venezia Giulia","39","61"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Liguria","3","50"
"2021","Città metropolitana Cagliari","1","Alberghiero","Italiani","Liguria","107","298"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Italiani","Liguria","5","23"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Italiani","Emilia Romagna","16","91"
"2021","Città metropolitana Cagliari","1","Alberghiero","Italiani","Emilia Romagna","254","639"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Emilia Romagna","7","33"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Toscana","8","64"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Italiani","Toscana","27","211"
"2021","Città metropolitana Cagliari","1","Alberghiero","Italiani","Toscana","183","369"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Italiani","Umbria","6","18"
"2021","Città metropolitana Cagliari","1","Alberghiero","Italiani","Umbria","36","47"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Umbria","1","9"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Marche","1","7"
"2021","Città metropolitana Cagliari","1","Alberghiero","Italiani","Marche","45","65"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Italiani","Marche","1","2"
"2021","Città metropolitana Cagliari","1","Alberghiero","Italiani","Lazio","629","1070"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Italiani","Lazio","31","65"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Lazio","14","31"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Italiani","Abruzzo","7","62"
"2021","Città metropolitana Cagliari","1","Alberghiero","Italiani","Abruzzo","63","153"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Abruzzo","11","61"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Italiani","Molise","1","2"
"2021","Città metropolitana Cagliari","1","Alberghiero","Italiani","Molise","9","12"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Campania","24","123"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Italiani","Campania","23","114"
"2021","Città metropolitana Cagliari","1","Alberghiero","Italiani","Campania","204","369"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Italiani","Puglia","14","99"
"2021","Città metropolitana Cagliari","1","Alberghiero","Italiani","Puglia","132","370"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Puglia","3","4"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Italiani","Basilicata","1","1"
"2021","Città metropolitana Cagliari","1","Alberghiero","Italiani","Basilicata","6","11"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Calabria","2","20"
"2021","Città metropolitana Cagliari","1","Alberghiero","Italiani","Calabria","41","102"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Italiani","Calabria","9","16"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Sicilia","42","307"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Italiani","Sicilia","42","294"
"2021","Città metropolitana Cagliari","1","Alberghiero","Italiani","Sicilia","197","504"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Italiani","Sardegna","681","1576"
"2021","Città metropolitana Cagliari","1","Alberghiero","Italiani","Sardegna","2307","4722"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Sardegna","314","963"
"2021","Città metropolitana Cagliari","1","Alberghiero","Italiani","Bolzano","29","45"
"2021","Città metropolitana Cagliari","1","Alberghiero","Italiani","Trento","13","29"
"2021","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Italiani","Trento","2","16"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Stranieri","Francia","9","11"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Francia","3","38"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Francia","41","100"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Paesi Bassi","12","48"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Germania","23","123"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Germania","2","53"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Stranieri","Germania","6","50"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Regno Unito","5","17"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Danimarca","2","2"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Grecia","28","46"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Portogallo","9","83"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Stranieri","Spagna","5","12"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Spagna","20","57"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Spagna","4","12"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Belgio","8","13"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Stranieri","Belgio","3","6"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Svezia","6","8"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Finlandia","1","2"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Svizzera (incluso Liechtenstein)","32","78"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Svizzera (incluso Liechtenstein)","6","46"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Stranieri","Svizzera (incluso Liechtenstein)","6","10"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Complementari","Stranieri","Austria","2","4"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Austria","24","98"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Malta","1","6"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Malta","2","2"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Turchia",,"19"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Turchia","1","2"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Estonia","3","5"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Lituania","5","33"
"2021","Città metropolitana Cagliari","2","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Lituania",,"23"
"2021","Città metropolitana Cagliari","2","Alberghiero","Stranieri","Polonia","29","58"
