"anno","provincia","mese","macro_tipologia","macro_provenienza","provenienza","arrivi","presenze"
"2019","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Francia","56","160"
"2019","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Francia","159","459"
"2019","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Francia","16","70"
"2019","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Paesi Bassi","92","251"
"2019","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Paesi Bassi","7","13"
"2019","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Paesi Bassi","18","44"
"2019","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Germania","137","349"
"2019","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Germania","16","67"
"2019","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Germania","56","208"
"2019","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Regno Unito","35","106"
"2019","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Regno Unito",,"1"
"2019","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Regno Unito","85","284"
"2019","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Irlanda","1","3"
"2019","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Irlanda","9","14"
"2019","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Irlanda","3","9"
"2019","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Danimarca","3","5"
"2019","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Grecia",,"4"
"2019","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Grecia","28","85"
"2019","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Grecia","10","60"
"2019","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Portogallo","17","129"
"2019","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Portogallo","2","6"
"2019","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Portogallo","36","133"
"2019","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Spagna","235","551"
"2019","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Spagna","24","94"
"2019","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Spagna","94","249"
"2019","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Belgio","13","27"
"2019","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Belgio","54","148"
"2019","Città metropolitana Cagliari","1","Extra-Alberghiero - Alloggi privati in affitto","Stranieri","Belgio","4","38"
"2019","Città metropolitana Cagliari","1","Extra-Alberghiero - Complementari","Stranieri","Lussemburgo","3","8"
"2019","Città metropolitana Cagliari","1","Alberghiero","Stranieri","Lussemburgo","3","42"
