anno,Provincia,Comune,Tipologia,Stelle,Numero Strutture,letti,camere
2020,Provincia del Sud Sardegna,MANDAS,Agriturismo,NULL,1,8,4
2020,Provincia del Sud Sardegna,MANDAS,Bed and breakfast,NULL,2,9,5
2020,Provincia del Sud Sardegna,MANDAS,Bed and breakfast,1 Stella,1,3,2
2020,Provincia del Sud Sardegna,MANDAS,Bed and breakfast,3 Stelle,2,9,2
2020,Provincia di Sassari,MARA,Bed and breakfast,NULL,2,12,6
2020,Città metropolitana di Cagliari,MARACALAGONIS,Affittacamere,NULL,1,5,4
2020,Città metropolitana di Cagliari,MARACALAGONIS,Affittacamere,II Categoria,1,2,2
2020,Città metropolitana di Cagliari,MARACALAGONIS,Albergo,3 Stelle,1,30,15
2020,Città metropolitana di Cagliari,MARACALAGONIS,Albergo,4 Stelle,1,989,369
2020,Città metropolitana di Cagliari,MARACALAGONIS,Alloggi privati,NULL,116,718,323
2020,Città metropolitana di Cagliari,MARACALAGONIS,Bed and breakfast,NULL,7,35,17
2020,Città metropolitana di Cagliari,MARACALAGONIS,Bed and breakfast,1 Stella,1,5,3
2020,Città metropolitana di Cagliari,MARACALAGONIS,Bed and breakfast,2 Stelle,2,10,5
2020,Città metropolitana di Cagliari,MARACALAGONIS,Bed and breakfast,3 Stelle,1,2,2
2020,Città metropolitana di Cagliari,MARACALAGONIS,Case e appartamenti per vacanze,NULL,1,184,0
2020,Città metropolitana di Cagliari,MARACALAGONIS,Case e appartamenti per vacanze,II Categoria,1,44,10
2020,Città metropolitana di Cagliari,MARACALAGONIS,Residence,III Categoria,1,159,40
2020,Provincia di Oristano,MARRUBIU,Agriturismo,NULL,1,12,6
2020,Provincia di Oristano,MARRUBIU,Alloggi privati,NULL,2,10,5
2020,Provincia di Oristano,MARRUBIU,Bed and breakfast,NULL,1,6,3
2020,Provincia di Oristano,MARRUBIU,Bed and breakfast,1 Stella,6,27,13
2020,Provincia di Oristano,MARRUBIU,Bed and breakfast,2 Stelle,3,14,8
2020,Provincia di Oristano,MARRUBIU,Bed and breakfast,3 Stelle,1,4,2
2020,Provincia di Sassari,MARTIS,Agriturismo,NULL,2,16,15
2020,Provincia di Sassari,MARTIS,Alloggi privati,NULL,2,18,5
2020,Provincia di Sassari,MARTIS,Bed and breakfast,NULL,2,11,5
2020,Provincia del Sud Sardegna,MASAINAS,Affittacamere,II Categoria,1,12,6
2020,Provincia del Sud Sardegna,MASAINAS,Agriturismo,NULL,1,6,3
2020,Provincia del Sud Sardegna,MASAINAS,Alloggi privati,NULL,3,11,5
2020,Provincia del Sud Sardegna,MASAINAS,Bed and breakfast,1 Stella,2,7,3
2020,Provincia del Sud Sardegna,MASAINAS,Bed and breakfast,3 Stelle,1,8,3
2020,Provincia di Oristano,MASULLAS,Bed and breakfast,NULL,1,4,2
2020,Provincia di Oristano,MASULLAS,Bed and breakfast,1 Stella,1,5,3
2020,Provincia di Nuoro,MEANA SARDO,Agriturismo,NULL,1,8,4
2020,Provincia di Nuoro,MEANA SARDO,Bed and breakfast,1 Stella,2,12,6
2020,Provincia di Nuoro,MEANA SARDO,Villaggi turistici,2 Stelle,1,32,5
2020,Provincia di Oristano,MILIS,Agriturismo,NULL,1,12,6
2020,Provincia di Oristano,MILIS,Alloggi privati,NULL,5,24,10
2020,Provincia di Oristano,MILIS,Bed and breakfast,NULL,2,8,4
2020,Provincia di Oristano,MILIS,Bed and breakfast,1 Stella,1,4,3
2020,Provincia di Oristano,MODOLO,Alloggi privati,NULL,10,54,25
2020,Provincia di Oristano,MODOLO,Bed and breakfast,NULL,1,6,3
2020,Provincia di Oristano,MODOLO,Bed and breakfast,1 Stella,1,7,3
2020,Provincia di Oristano,MODOLO,Bed and breakfast,3 Stelle,1,6,3
2020,Provincia di Oristano,MOGORELLA,Bed and breakfast,NULL,1,4,2
2020,Provincia di Oristano,MOGORO,Alloggi privati,NULL,2,12,6
2020,Provincia di Oristano,MOGORO,Bed and breakfast,NULL,2,11,6
2020,Provincia di Oristano,MOGORO,Bed and breakfast,1 Stella,1,6,3
2020,Provincia del Sud Sardegna,MONASTIR,Affittacamere,III Categoria,1,10,5
2020,Provincia del Sud Sardegna,MONASTIR,Albergo,3 Stelle,1,46,22
2020,Provincia del Sud Sardegna,MONASTIR,Bed and breakfast,1 Stella,1,4,3
2020,Provincia del Sud Sardegna,MONASTIR,Bed and breakfast,3 Stelle,2,8,3
2020,Città metropolitana di Cagliari,MONSERRATO,Alloggi privati,NULL,19,67,32
2020,Città metropolitana di Cagliari,MONSERRATO,Bed and breakfast,NULL,13,50,23
2020,Città metropolitana di Cagliari,MONSERRATO,Bed and breakfast,1 Stella,1,5,2
2020,Provincia di Sassari,MONTELEONE ROCCA DORIA,Affittacamere,NULL,1,8,4
2020,Provincia di Sassari,MONTELEONE ROCCA DORIA,Bed and breakfast,NULL,4,19,10
2020,Provincia di Sassari,MONTI,Affittacamere,III Categoria,2,13,4
2020,Provincia di Sassari,MONTI,Agriturismo,NULL,9,93,44
2020,Provincia di Sassari,MONTI,Bed and breakfast,NULL,1,4,2
2020,Provincia di Sassari,MORES,Affittacamere,II Categoria,1,6,4
2020,Provincia di Sassari,MORES,Albergo,3 Stelle,1,20,10
2020,Provincia di Oristano,MORGONGIORI,Agriturismo,NULL,1,12,5
2020,Provincia del Sud Sardegna,MURAVERA,Affittacamere,NULL,1,13,6
2020,Provincia del Sud Sardegna,MURAVERA,Affittacamere,II Categoria,2,22,10
2020,Provincia del Sud Sardegna,MURAVERA,Affittacamere,III Categoria,1,12,6
2020,Provincia del Sud Sardegna,MURAVERA,Agriturismo,NULL,3,38,12
2020,Provincia del Sud Sardegna,MURAVERA,Albergo,1 Stella,1,24,16
2020,Provincia del Sud Sardegna,MURAVERA,Albergo,3 Stelle,3,477,235
2020,Provincia del Sud Sardegna,MURAVERA,Albergo,4 Stelle,8,2575,1051
2020,Provincia del Sud Sardegna,MURAVERA,Albergo residenziale,3 Stelle,1,302,98
2020,Provincia del Sud Sardegna,MURAVERA,Alloggi privati,NULL,188,920,389
2020,Provincia del Sud Sardegna,MURAVERA,Bed and breakfast,NULL,3,18,8
2020,Provincia del Sud Sardegna,MURAVERA,Bed and breakfast,1 Stella,4,14,8
2020,Provincia del Sud Sardegna,MURAVERA,Bed and breakfast,2 Stelle,9,39,23
2020,Provincia del Sud Sardegna,MURAVERA,Bed and breakfast,3 Stelle,5,27,13
2020,Provincia del Sud Sardegna,MURAVERA,Campeggio,NULL,1,224,56
2020,Provincia del Sud Sardegna,MURAVERA,Campeggio,3 Stelle,3,1535,364
2020,Provincia del Sud Sardegna,MURAVERA,Campeggio,4 Stelle,2,2788,601
2020,Provincia del Sud Sardegna,MURAVERA,Case e appartamenti per vacanze,NULL,4,157,64
2020,Provincia del Sud Sardegna,MURAVERA,Case e appartamenti per vacanze,I Categoria,1,72,36
2020,Provincia del Sud Sardegna,MURAVERA,Case e appartamenti per vacanze,II Categoria,14,494,193
2020,Provincia del Sud Sardegna,MURAVERA,Locanda,II Categoria,1,15,6
2020,Provincia del Sud Sardegna,MURAVERA,Residence,I Categoria,1,16,8
2020,Provincia del Sud Sardegna,MURAVERA,Turismo Rurale,NULL,1,20,15
2020,Provincia del Sud Sardegna,MURAVERA,Turismo Rurale,3 Stelle,1,22,10
2020,Provincia di Sassari,MUROS,Bed and breakfast,NULL,1,4,3
2020,Provincia di Sassari,MUROS,Bed and breakfast,2 Stelle,1,2,1
2020,Provincia di Oristano,NARBOLIA,Affittacamere,II Categoria,4,41,19
2020,Provincia di Oristano,NARBOLIA,Agriturismo,NULL,3,22,11
2020,Provincia di Oristano,NARBOLIA,Albergo,5 Stelle,1,332,109
2020,Provincia di Oristano,NARBOLIA,Alloggi privati,NULL,9,46,21
2020,Provincia di Oristano,NARBOLIA,Bed and breakfast,NULL,1,6,3
2020,Provincia di Oristano,NARBOLIA,Bed and breakfast,2 Stelle,1,9,3
2020,Provincia di Oristano,NARBOLIA,Campeggio,3 Stelle,2,1436,416
2020,Provincia di Oristano,NARBOLIA,Case e appartamenti per vacanze,I Categoria,1,108,27
2020,Provincia del Sud Sardegna,NARCAO,Agriturismo,NULL,1,4,2
2020,Provincia del Sud Sardegna,NARCAO,Albergo,3 Stelle,1,17,9
2020,Provincia del Sud Sardegna,NARCAO,Bed and breakfast,1 Stella,1,2,2
2020,Provincia del Sud Sardegna,NARCAO,Villaggi turistici,2 Stelle,1,37,23
2020,Provincia di Oristano,NEONELI,Agriturismo,NULL,2,25,17
2020,Provincia di Oristano,NORBELLO,Bed and breakfast,1 Stella,1,4,2
2020,Provincia di Oristano,NORBELLO,Campeggio,3 Stelle,1,204,54
2020,Provincia di Sassari,NUGHEDU SAN NICOLO,Bed and breakfast,NULL,2,10,5
2020,Provincia di Sassari,NUGHEDU SAN NICOLO,Campeggio,3 Stelle,1,105,0
2020,Provincia di Oristano,NUGHEDU SANTA VITTORIA,Bed and breakfast,1 Stella,1,4,2
2020,Provincia di Sassari,NULVI,Agriturismo,NULL,5,68,19
2020,Provincia di Sassari,NULVI,Alloggi privati,NULL,4,20,7
2020,Provincia di Sassari,NULVI,Bed and breakfast,NULL,2,11,6
2020,Provincia di Sassari,NULVI,Case e appartamenti per vacanze,III Categoria,1,16,0
2020,Provincia di Nuoro,NUORO,Affittacamere,II Categoria,13,60,31
2020,Provincia di Nuoro,NUORO,Agriturismo,NULL,4,63,29
2020,Provincia di Nuoro,NUORO,Albergo,2 Stelle,1,20,13
2020,Provincia di Nuoro,NUORO,Albergo,3 Stelle,3,279,145
2020,Provincia di Nuoro,NUORO,Albergo residenziale,3 Stelle,1,24,11
2020,Provincia di Nuoro,NUORO,Alloggi privati,NULL,20,90,37
2020,Provincia di Nuoro,NUORO,Bed and breakfast,NULL,12,53,26
2020,Provincia di Nuoro,NUORO,Bed and breakfast,1 Stella,6,25,13
2020,Provincia di Nuoro,NUORO,Bed and breakfast,2 Stelle,7,34,16
2020,Provincia di Nuoro,NUORO,Bed and breakfast,3 Stelle,4,12,5
2020,Provincia di Nuoro,NUORO,Case e appartamenti per vacanze,II Categoria,2,39,18
2020,Provincia di Nuoro,NUORO,Residence,I Categoria,1,55,15
2020,Provincia di Oristano,NURACHI,Agriturismo,NULL,3,36,16
2020,Provincia di Oristano,NURACHI,Alloggi privati,NULL,18,94,43
2020,Provincia di Oristano,NURACHI,Bed and breakfast,1 Stella,1,6,3
2020,Provincia di Oristano,NURACHI,Bed and breakfast,2 Stelle,1,6,3
2020,Provincia di Oristano,NURACHI,Bed and breakfast,3 Stelle,2,10,6
2020,Provincia di Oristano,NURACHI,Case e appartamenti per vacanze,II Categoria,1,18,6
2020,Provincia del Sud Sardegna,NURAGUS,Bed and breakfast,NULL,1,5,3
2020,Provincia del Sud Sardegna,NURAGUS,Bed and breakfast,1 Stella,1,3,2
2020,Provincia del Sud Sardegna,NURALLAO,Agriturismo,NULL,1,12,6
2020,Provincia del Sud Sardegna,NURALLAO,Bed and breakfast,3 Stelle,2,11,4
2020,Provincia del Sud Sardegna,NURAMINIS,Albergo,2 Stelle,1,34,20
2020,Provincia del Sud Sardegna,NURAMINIS,Bed and breakfast,1 Stella,1,3,3
2020,Provincia di Oristano,NURECI,Bed and breakfast,NULL,1,6,3
2020,Provincia di Oristano,NURECI,Bed and breakfast,3 Stelle,2,14,6
2020,Provincia del Sud Sardegna,NURRI,Agriturismo,NULL,1,6,3
2020,Provincia del Sud Sardegna,NURRI,Albergo,3 Stelle,1,20,10
2020,Provincia di Sassari,OLBIA,Affittacamere,NULL,19,162,52
2020,Provincia di Sassari,OLBIA,Affittacamere,I Categoria,5,43,13
2020,Provincia di Sassari,OLBIA,Affittacamere,II Categoria,24,200,88
2020,Provincia di Sassari,OLBIA,Affittacamere,III Categoria,1,5,4
2020,Provincia di Sassari,OLBIA,Agriturismo,NULL,25,264,84
2020,Provincia di Sassari,OLBIA,Albergo,1 Stella,1,13,7
2020,Provincia di Sassari,OLBIA,Albergo,2 Stelle,2,42,25
2020,Provincia di Sassari,OLBIA,Albergo,3 Stelle,15,894,381
2020,Provincia di Sassari,OLBIA,Albergo,4 Stelle,29,3785,1602
2020,Provincia di Sassari,OLBIA,Albergo,5 Stelle,2,519,224
2020,Provincia di Sassari,OLBIA,Albergo diffuso,3 Stelle,1,23,9
2020,Provincia di Sassari,OLBIA,Albergo diffuso,4 Stelle,1,14,NULL
2020,Provincia di Sassari,OLBIA,Albergo residenziale,3 Stelle,4,903,0
2020,Provincia di Sassari,OLBIA,Alloggi privati,NULL,660,3922,869
2020,Provincia di Sassari,OLBIA,Bed and breakfast,NULL,83,370,148
2020,Provincia di Sassari,OLBIA,Bed and breakfast,1 Stella,13,66,29
2020,Provincia di Sassari,OLBIA,Bed and breakfast,2 Stelle,6,32,14
2020,Provincia di Sassari,OLBIA,Bed and breakfast,3 Stelle,10,49,24
2020,Provincia di Sassari,OLBIA,Boat and Breakfast,NULL,1,3,1
2020,Provincia di Sassari,OLBIA,Campeggio,3 Stelle,1,644,120
2020,Provincia di Sassari,OLBIA,Case e appartamenti per vacanze,NULL,9,164,34
2020,Provincia di Sassari,OLBIA,Case e appartamenti per vacanze,I Categoria,5,827,0
2020,Provincia di Sassari,OLBIA,Case e appartamenti per vacanze,II Categoria,20,391,88
2020,Provincia di Sassari,OLBIA,Locanda,NULL,1,11,NULL
2020,Provincia di Sassari,OLBIA,Residence,II Categoria,1,292,0
2020,Provincia di Sassari,OLBIA,Residence,III Categoria,1,120,0
2020,Provincia di Sassari,OLBIA,Turismo Rurale,NULL,3,54,30
2020,Provincia di Sassari,OLBIA,Turismo Rurale,3 Stelle,1,24,12
2020,Provincia di Sassari,OLBIA,Villaggio albergo,2 Stelle,1,130,0
2020,Provincia di Nuoro,OLIENA,Affittacamere,II Categoria,2,14,6
2020,Provincia di Nuoro,OLIENA,Agriturismo,NULL,2,29,14
2020,Provincia di Nuoro,OLIENA,Albergo,3 Stelle,1,32,16
2020,Provincia di Nuoro,OLIENA,Albergo,4 Stelle,1,134,67
2020,Provincia di Nuoro,OLIENA,Alloggi privati,NULL,32,126,59
2020,Provincia di Nuoro,OLIENA,Bed and breakfast,NULL,1,6,3
2020,Provincia di Nuoro,OLIENA,Bed and breakfast,1 Stella,2,6,4
2020,Provincia di Nuoro,OLIENA,Bed and breakfast,2 Stelle,5,32,15
2020,Provincia di Nuoro,OLIENA,Bed and breakfast,3 Stelle,6,38,15
2020,Provincia di Nuoro,OLIENA,Locanda,NULL,1,8,4
2020,Provincia di Nuoro,OLIENA,Locanda,II Categoria,1,13,6
2020,Provincia di Oristano,OLLASTRA,Alloggi privati,NULL,2,6,3
2020,Provincia di Nuoro,OLLOLAI,Agriturismo,NULL,1,20,11
2020,Provincia di Nuoro,OLLOLAI,Bed and breakfast,NULL,2,12,5
2020,Provincia di Nuoro,OLLOLAI,Bed and breakfast,1 Stella,1,4,1
2020,Provincia di Nuoro,OLLOLAI,Bed and breakfast,2 Stelle,1,3,2
2020,Provincia di Nuoro,OLLOLAI,Bed and breakfast,3 Stelle,3,15,8
2020,Provincia di Sassari,OLMEDO,Affittacamere,NULL,1,7,4
2020,Provincia di Sassari,OLMEDO,Affittacamere,II Categoria,2,18,12
2020,Provincia di Sassari,OLMEDO,Affittacamere,III Categoria,1,8,4
2020,Provincia di Sassari,OLMEDO,Agriturismo,NULL,3,31,11
2020,Provincia di Sassari,OLMEDO,Alloggi privati,NULL,20,95,22
2020,Provincia di Sassari,OLMEDO,Bed and breakfast,NULL,11,51,27
2020,Provincia di Sassari,OLMEDO,Bed and breakfast,2 Stelle,2,6,4
2020,Provincia di Sassari,OLMEDO,Case e appartamenti per vacanze,III Categoria,1,10,5
2020,Provincia di Nuoro,OLZAI,Agriturismo,NULL,1,10,5
2020,Provincia di Nuoro,ONIFAI,Affittacamere,II Categoria,1,12,6
2020,Provincia di Nuoro,ONIFAI,Alloggi privati,NULL,8,43,20
2020,Provincia di Nuoro,ONIFAI,Bed and breakfast,NULL,1,6,2
2020,Provincia di Nuoro,ONIFERI,Agriturismo,NULL,1,12,6
2020,Provincia di Nuoro,ORANI,Agriturismo,NULL,1,12,6
2020,Provincia di Nuoro,ORANI,Bed and breakfast,1 Stella,1,6,3
2020,Provincia di Nuoro,ORANI,Locanda,NULL,1,10,5
2020,Provincia di Nuoro,ORGOSOLO,Affittacamere,I Categoria,1,11,4
2020,Provincia di Nuoro,ORGOSOLO,Affittacamere,II Categoria,4,31,16
2020,Provincia di Nuoro,ORGOSOLO,Agriturismo,NULL,3,23,11
2020,Provincia di Nuoro,ORGOSOLO,Albergo,2 Stelle,2,55,32
2020,Provincia di Nuoro,ORGOSOLO,Alloggi privati,NULL,5,34,12
2020,Provincia di Nuoro,ORGOSOLO,Bed and breakfast,NULL,4,21,11
2020,Provincia di Nuoro,ORGOSOLO,Bed and breakfast,1 Stella,3,13,7
2020,Provincia di Nuoro,ORGOSOLO,Bed and breakfast,2 Stelle,2,14,6
2020,Provincia di Nuoro,ORGOSOLO,Locanda,II Categoria,2,11,6
2020,Provincia di Oristano,ORISTANO,Affittacamere,I Categoria,1,17,6
2020,Provincia di Oristano,ORISTANO,Affittacamere,II Categoria,19,151,79
2020,Provincia di Oristano,ORISTANO,Agriturismo,NULL,3,54,23
2020,Provincia di Oristano,ORISTANO,Albergo,3 Stelle,3,192,97
2020,Provincia di Oristano,ORISTANO,Albergo,4 Stelle,4,461,230
2020,Provincia di Oristano,ORISTANO,Alloggi privati,NULL,139,562,256
2020,Provincia di Oristano,ORISTANO,Bed and breakfast,NULL,1,4,2
2020,Provincia di Oristano,ORISTANO,Bed and breakfast,1 Stella,7,25,12
2020,Provincia di Oristano,ORISTANO,Bed and breakfast,2 Stelle,4,20,10
2020,Provincia di Oristano,ORISTANO,Bed and breakfast,3 Stelle,11,52,25
2020,Provincia di Oristano,ORISTANO,Case e appartamenti per vacanze,II Categoria,5,21,13
2020,Provincia di Oristano,ORISTANO,Case per ferie,III Categoria,1,40,10
2020,Provincia di Oristano,ORISTANO,Ostelli per la gioventù,III Categoria,1,138,69
2020,Provincia di Oristano,ORISTANO,Residence,II Categoria,1,24,10
2020,Provincia di Oristano,ORISTANO,Villaggi turistici,4 Stelle,1,390,100
2020,Provincia di Nuoro,OROSEI,Affittacamere,I Categoria,1,11,6
2020,Provincia di Nuoro,OROSEI,Affittacamere,II Categoria,4,49,22
2020,Provincia di Nuoro,OROSEI,Agriturismo,NULL,10,117,54
2020,Provincia di Nuoro,OROSEI,Albergo,3 Stelle,9,346,168
2020,Provincia di Nuoro,OROSEI,Albergo,4 Stelle,6,2180,1004
2020,Provincia di Nuoro,OROSEI,Albergo diffuso,4 Stelle,1,44,19
2020,Provincia di Nuoro,OROSEI,Albergo residenziale,3 Stelle,5,907,249
2020,Provincia di Nuoro,OROSEI,Albergo residenziale,4 Stelle,1,391,176
2020,Provincia di Nuoro,OROSEI,Alloggi privati,NULL,344,1661,759
2020,Provincia di Nuoro,OROSEI,Bed and breakfast,NULL,12,66,33
2020,Provincia di Nuoro,OROSEI,Bed and breakfast,1 Stella,3,12,6
2020,Provincia di Nuoro,OROSEI,Bed and breakfast,2 Stelle,5,24,12
2020,Provincia di Nuoro,OROSEI,Bed and breakfast,3 Stelle,4,29,12
2020,Provincia di Nuoro,OROSEI,Campeggio,1 Stella,1,394,88
2020,Provincia di Nuoro,OROSEI,Campeggio,2 Stelle,1,340,82
2020,Provincia di Nuoro,OROSEI,Campeggio,3 Stelle,2,1880,570
2020,Provincia di Nuoro,OROSEI,Case e appartamenti per vacanze,NULL,1,12,5
2020,Provincia di Nuoro,OROSEI,Case e appartamenti per vacanze,I Categoria,1,15,6
2020,Provincia di Nuoro,OROSEI,Case e appartamenti per vacanze,II Categoria,8,206,87
2020,Provincia di Nuoro,OROSEI,Residence,II Categoria,2,261,94
2020,Provincia di Nuoro,OROSEI,Villaggio albergo,4 Stelle,2,872,391
2020,Provincia di Nuoro,OROTELLI,Affittacamere,II Categoria,2,8,4
2020,Provincia di Nuoro,OROTELLI,Bed and breakfast,NULL,1,4,1
2020,Provincia del Sud Sardegna,ORROLI,Albergo diffuso,3 Stelle,1,23,11
2020,Provincia del Sud Sardegna,ORROLI,Bed and breakfast,NULL,3,18,6
2020,Provincia del Sud Sardegna,ORROLI,Bed and breakfast,2 Stelle,1,6,3
2020,Provincia del Sud Sardegna,ORROLI,Bed and breakfast,3 Stelle,1,6,3
2020,Provincia del Sud Sardegna,ORROLI,Turismo Rurale,NULL,2,38,16
2020,Provincia di Nuoro,ORTUERI,Albergo,1 Stella,1,13,8
2020,Provincia di Sassari,OSCHIRI,Agriturismo,NULL,1,20,0
2020,Provincia di Sassari,OSCHIRI,Alloggi privati,NULL,1,4,NULL
2020,Provincia di Sassari,OSCHIRI,Bed and breakfast,NULL,2,12,3
2020,Provincia di Sassari,OSCHIRI,Turismo Rurale,NULL,1,15,7
2020,Provincia di Nuoro,OSIDDA,Agriturismo,NULL,1,12,6
2020,Provincia di Nuoro,OSIDDA,Bed and breakfast,2 Stelle,1,8,3
2020,Provincia di Sassari,OSILO,Affittacamere,II Categoria,2,16,7
2020,Provincia di Sassari,OSILO,Alloggi privati,NULL,2,9,1
2020,Provincia di Sassari,OSILO,Bed and breakfast,NULL,3,13,7
2020,Provincia di Nuoro,OSINI,Agriturismo,NULL,1,9,4
2020,Provincia di Nuoro,OSINI,Albergo,3 Stelle,1,20,11
2020,Provincia di Nuoro,OSINI,Bed and breakfast,NULL,2,10,5
2020,Provincia di Nuoro,OSINI,Bed and breakfast,1 Stella,2,10,5
2020,Provincia di Nuoro,OSINI,Bed and breakfast,3 Stelle,1,2,1
2020,Provincia di Nuoro,OSINI,Campeggio,2 Stelle,1,80,20
2020,Provincia di Sassari,OSSI,Affittacamere,NULL,2,15,6
2020,Provincia di Sassari,OSSI,Affittacamere,II Categoria,1,4,1
2020,Provincia di Sassari,OSSI,Alloggi privati,NULL,1,5,1
2020,Provincia di Sassari,OSSI,Bed and breakfast,NULL,3,16,8
2020,Provincia di Sassari,OSSI,Bed and breakfast,2 Stelle,1,1,1
2020,Provincia di Nuoro,OTTANA,Albergo,2 Stelle,2,39,34
2020,Provincia di Nuoro,OVODDA,Agriturismo,NULL,2,13,6
2020,Provincia di Nuoro,OVODDA,Bed and breakfast,NULL,1,6,3
2020,Provincia di Nuoro,OVODDA,Bed and breakfast,3 Stelle,1,6,3
2020,Provincia di Sassari,OZIERI,Agriturismo,NULL,1,11,5
2020,Provincia di Sassari,OZIERI,Albergo,3 Stelle,2,65,18
2020,Provincia di Sassari,OZIERI,Alloggi privati,NULL,1,4,NULL
2020,Provincia di Sassari,OZIERI,Bed and breakfast,NULL,8,32,17
2020,Provincia di Sassari,OZIERI,Bed and breakfast,2 Stelle,4,22,9
2020,Provincia di Sassari,OZIERI,Bed and breakfast,3 Stelle,1,4,2
2020,Provincia di Sassari,OZIERI,Case e appartamenti per vacanze,II Categoria,1,12,0
2020,Provincia del Sud Sardegna,PABILLONIS,Alloggi privati,NULL,1,1,3
2020,Provincia del Sud Sardegna,PABILLONIS,Bed and breakfast,NULL,1,6,3
2020,Provincia del Sud Sardegna,PABILLONIS,Bed and breakfast,1 Stella,1,5,3
2020,Provincia di Sassari,PADRIA,Agriturismo,NULL,1,16,0
2020,Provincia di Sassari,PADRIA,Alloggi privati,NULL,1,6,NULL
2020,Provincia di Sassari,PADRU,Agriturismo,NULL,15,191,64
2020,Provincia di Sassari,PADRU,Albergo,2 Stelle,1,18,9
2020,Provincia di Sassari,PADRU,Alloggi privati,NULL,1,4,2
2020,Provincia di Sassari,PALAU,Affittacamere,NULL,1,4,NULL
2020,Provincia di Sassari,PALAU,Affittacamere,I Categoria,1,13,0
2020,Provincia di Sassari,PALAU,Affittacamere,II Categoria,3,31,9
2020,Provincia di Sassari,PALAU,Affittacamere,III Categoria,1,8,6
2020,Provincia di Sassari,PALAU,Agriturismo,NULL,1,18,NULL
2020,Provincia di Sassari,PALAU,Albergo,3 Stelle,8,475,191
2020,Provincia di Sassari,PALAU,Albergo,4 Stelle,5,1865,687
2020,Provincia di Sassari,PALAU,Albergo,5 Stelle,1,200,63
2020,Provincia di Sassari,PALAU,Albergo residenziale,3 Stelle,2,304,36
2020,Provincia di Sassari,PALAU,Alloggi privati,NULL,201,938,329
2020,Provincia di Sassari,PALAU,Bed and breakfast,NULL,10,41,12
2020,Provincia di Sassari,PALAU,Bed and breakfast,1 Stella,4,18,4
2020,Provincia di Sassari,PALAU,Bed and breakfast,2 Stelle,4,18,4
2020,Provincia di Sassari,PALAU,Bed and breakfast,3 Stelle,10,54,20
2020,Provincia di Sassari,PALAU,Campeggio,3 Stelle,4,3426,1029
2020,Provincia di Sassari,PALAU,Case e appartamenti per vacanze,NULL,3,271,77
2020,Provincia di Sassari,PALAU,Case e appartamenti per vacanze,I Categoria,1,76,0
2020,Provincia di Sassari,PALAU,Case e appartamenti per vacanze,II Categoria,10,976,154
2020,Provincia di Sassari,PALAU,Residence,II Categoria,2,277,15
2020,Provincia di Oristano,PALMAS ARBOREA,Agriturismo,NULL,3,40,20
2020,Provincia di Oristano,PALMAS ARBOREA,Bed and breakfast,1 Stella,1,4,2
2020,Provincia di Sassari,PATTADA,Agriturismo,NULL,1,12,6
2020,Provincia di Sassari,PATTADA,Albergo,3 Stelle,2,92,11
2020,Provincia del Sud Sardegna,PAULI ARBAREI,Affittacamere,II Categoria,1,12,5
2020,Provincia del Sud Sardegna,PAULI ARBAREI,Agriturismo,NULL,1,12,6
2020,Provincia di Oristano,PAULILATINO,Affittacamere,II Categoria,2,16,9
2020,Provincia di Oristano,PAULILATINO,Alloggi privati,NULL,4,15,7
2020,Provincia di Oristano,PAULILATINO,Bed and breakfast,NULL,2,9,5
2020,Provincia di Oristano,PAULILATINO,Bed and breakfast,2 Stelle,1,5,3
2020,Provincia di Oristano,PAULILATINO,Case per ferie,III Categoria,1,7,4
2020,Provincia di Nuoro,PERDASDEFOGU,Bed and breakfast,NULL,1,4,2
2020,Provincia di Nuoro,PERDASDEFOGU,Bed and breakfast,1 Stella,2,10,5
2020,Provincia del Sud Sardegna,PERDAXIUS,Alloggi privati,NULL,1,2,NULL
2020,Provincia di Sassari,PERFUGAS,Agriturismo,NULL,2,17,9
2020,Provincia di Sassari,PERFUGAS,Albergo,2 Stelle,1,18,9
2020,Provincia di Sassari,PERFUGAS,Alloggi privati,NULL,3,15,2
2020,Provincia di Sassari,PERFUGAS,Bed and breakfast,NULL,2,11,5
2020,Provincia di Sassari,PERFUGAS,Bed and breakfast,1 Stella,1,5,3
2020,Provincia di Sassari,PERFUGAS,Bed and breakfast,2 Stelle,1,6,3
2020,Provincia del Sud Sardegna,PISCINAS,Affittacamere,II Categoria,1,7,3
2020,Provincia del Sud Sardegna,PISCINAS,Affittacamere,III Categoria,1,10,5
2020,Provincia del Sud Sardegna,PISCINAS,Bed and breakfast,1 Stella,1,6,2
2020,Provincia di Sassari,PLOAGHE,Bed and breakfast,NULL,3,16,8
2020,Provincia di Sassari,PLOAGHE,Bed and breakfast,1 Stella,1,6,2
2020,Provincia di Sassari,PORTO TORRES,Affittacamere,NULL,9,60,31
2020,Provincia di Sassari,PORTO TORRES,Affittacamere,I Categoria,1,6,3
2020,Provincia di Sassari,PORTO TORRES,Affittacamere,II Categoria,4,36,17
2020,Provincia di Sassari,PORTO TORRES,Agriturismo,NULL,3,43,12
2020,Provincia di Sassari,PORTO TORRES,Albergo,3 Stelle,2,126,22
2020,Provincia di Sassari,PORTO TORRES,Albergo,4 Stelle,1,87,36
2020,Provincia di Sassari,PORTO TORRES,Albergo residenziale,3 Stelle,1,35,0
